name
Acceso a la planta wet
Acceso a laboratorio wet
Pared de empaque secundario lata
Área de racks de insumos
Área de LP S
Área de cortinas (acceso a zona azul)
Área de racks "Producto de proceso"
Puerta de emergencia
Área de andenes
Pared (L4 Descargadora de blind)
Pared (Area de esterilizado)
Rampa a salida de gas de montacargas
Área de equipo obsoletos
Área de racks etiquetas recibo wet
Exterior área nueva recibo wet
Interior área nueva recibo wet
Área de andenes recibo wet
Exterior oficinas recibo wet
Exterior decomisos
Área polvos
Área polvos y gravy
Exterior polvos y gravy
Área CCM (Wet nuevo)
Exterior de congelador
Área de emulsión
Exterior oficinas wet (accesos)
Corte Wet
Baño de mujeres (Amenities)
Cuarto de ropa sucia (Amenities)
Baño de hombres (Amenities)
Escaleras (Amenities)
Barra de comedor
Almacen de comedor
Acceso a proveedores/comedor/cocina
Puerta de emergencia comedor
Área de comedor
Cuarto de calentadores
Cuarto electrico
Subestación electrica
Tratamiento de aguas
Acceso oficina contratista
Acceso cuarto de ropa sucia
Acceso vestidores planta dry
Acceso servicio medico
Salida de emergencia pasillo dry
Pared exterior dry cerca acceso wet
Acceso a planta wet
Salida de emergencia pared dry
Cortina acceso equipos a dry
Area de silos café pared dry
Acceso zona roja
Accesos zona roja
Pared sub estacion electrica
Salida de emergencia sub estación elect.
Pared cuarto sub estación elect.
Pared cuarto de compresores
Acceso recibo dry
Rampa recibo dry
Area de andenes recibo dry
Area de carros tarimas y carton
Acceso recibo wet
Rampa recibo wet
Area de andenes recibo wet
Pared exterior wet
Salida de emergencia pared wet
Pared exterior wet patio maniobras monta.
Rampa de emergencia wet
Andenes de carga pared wet
Pared exterior wet unidades manejadoras
Andenes de embarques
Rampa acceso embarques
Acceso exclusa de embarques
Salida de emergencia exclusa embarques
Pared exterior dry
Acceso a exclusa de equipos dry
Exterior pared de sala break dry
Exterior area verde sala break dry
Acceso cuarto de corte wet
Acceso recibo de grano dry
Acceso de transporte recibo dry
Exterior caseta de recibo dry
Area de contratistas
Exterior almacén de oxi
Exterior almacen de oxi
Exterior area de reparación montacargas
Exterior cuarto de quimico
Exterior cuarto de quimicos
Exterior baños de contratistas
Exterior cuarto de bombas
Exterior de planta tratadora
Acceso a planta tratadora agua
Exterior de planta tratadora agua
Exterior cocina contratistas
Exterior cuarto micotoxinas
Acceso a amenities recepcion
Acceso a amenities baños mujeres
Salida de emergencia baños mujeres
Acceso a cuarto de ropa sucia M
Acceso a cuarto de ropa sucia H
Salida de emergencia baños Hombre
Acceso cuarto de calentador
Acceso a cuarto eléctrico
Exterior pared amenities
Jardín exterior de comedor
Acceso a cuarto de basura
Exterior pared del comedor
Exterior de terraza futbolito
Pared exterior de terraza
Exterior sub estación eléctrica
Entrada a wet (Tunel)
Pared embarque secundario lata
Pared de área de esterilizado
Pared de cargador blind
Salida de carga de gas montagargas
Andenes de wet
Puerta de acceso a recibo wet
Exterior cuarto de decomisos
Área primarios pouch
Exterior oficinas wet
Interior oficinas wet
Comedor
Oficinas superior (Amenities)
Cocina (Amenities)
Acceso a planta dry
Pasillo de líneas de prod. dry
Andenes de carga embarques
Area racks de producto terminado
Area de carga de pilas
Salida de emergencia dry
Area emplayo de  Prod. Term.
Area de Tarimas vacias
Area de tarimas de Prod. Term.
Pasillo de línea de producción dry
Exterior de oficinas Dry
Zona de transición zona roja
Almacen de materia prima dry
Area de Recibo Dry
Acceso a area de compresores
Area de suavizadores
Interior area de compresores
Interior area de calderas
Interior area de sub estación eléctrica dry
Acceso a zona roja
Cuarto de mezclas (elevador)
Cuarto de muestras (escalera)
Oficina cuarto de mezclas
Zona de transición
Exterior oficinas dry
Exterior cuarto de control
Area zona de construcción Tablaroca
Acceso a Dry (Barda)
Acceso a Dry (barda)
Exclusa de sanitización herramientas
Comedor Dry
Recibo de granos Dry
Túnel recibo granos Dry
Interior cuarto de Micotoxinas
Puerta de emergencia extrucción
Secadores
Acceso cuarto de ropa  sucia
Pared de extruccion
Area de silos cremita pared dry
Interior oficinas de recibo
Andenes de carga de recibo
Area de racks de producto terminado
Pasillo central oficinas
Andenes de recibo dry
Acceso a Mezclas
Interior cuarto de control
Interior de oficinas dry
Area de extrucción
Area de construcción nueva Bunkers
Area de Micotoxinas
Exterior oficinas
Exterior aseguramiento
Exterior laboratorio de calidad
Pared de tableros
pared secundario latas
Racks empaque secundario
Transportador WET
Cortina frontera WET
Junto a la empayadora
Pared aledaña a DRY (empaque secundario)
Salida de emergencias empaque secuandario
Anden 6
Anden 6 y 7
Anden 7
Pared poniente empaque secundario
Salida de emergencias esterilizado
Pared poniente TT9
Cortina TT9
Almacen materia prima
Racks almacen
Salida de emergencia (cargador pilas)
Cortina pouch
Área de pouch
Salida de emergencia pouch
Area pouch
Pared poniente anden 8
Anden 8
Anden 8 y 9
Anden 9
Cortina acceso recibo WET
Salida de emergencia recibo
Recibo WET
Racks latas
pared cuarto frio
cortina de decomisos
recolector de polvos
acceso a area de temperaturas
gravy
polvos y gravy
subestacion ccm
enfrente de polvos
preparacion de carne
puerta de area de temperatura
llenador de carne
Puerta cuarto de corte (costado almacen)
oficinas ext. (sellador de lata)
ext. Oficinas (reproceso)
oficinas esterilizado
corte WET
corte wet
baños mujeres amenities
cuarto de uniformes
baños hombres amenities
escaleras a planta alta
amenities
bodega de cocona
puerta de emergencia (cocina)
puerta de emergencia comedor
comedor
cuarto de ventiladores
cuarto electrico
subestacion electrica
tratamiento de aguas
tunel
ext laboratorio R y D
secundario latas
salida de emergencia racks
anden 6
salida de emergencia empaque
puerta de emergecia esterilizado
pared poniente TT9
cortna TT9
cargador de pilas
anden 8
anden 9
recibo wet
empaque primario poucn
sellador de lata
interiro oficinas
amenirties planta alta
cocina
cuarto de corte
ext. Oficina DRY
racks de producto terminado
recarga de baterias
salida de emergencia buffer
transportador
cortina transportador
picking
línea de producción dry
ext. Cuarto de baterias
almacen de materia prima
recibo DRY
cortina mezclas
salida de emergencia
racks mezclas
acceso a area de compresores
entrada cuanrto de servicios
interior area de servicios
interiro area de calderas
subestacion media
area de calderas
acceso  a zona roja
cuarto de mezclas
salida de  emergencias mezclas
ext. Esclusa de totes
ext. Slurry
cuarto de muestras
oficina cuarto de mezclas
zona de transicion
exterior oficinas DRY
esclusa
exterior extrusion
area de secado
buffer
acceso a dry
exclusa de herramientas
comedor dry
interior cuarto de micotoxinas
puerta de emergencia extrusion
secadores
escusa principal
embarques
rampa contenedor
andenes de carga
pasillo central oficinas
andenes de mezclas
entrada mezclas
cuarto de control
interior oficinas dry
estrucion salida de emergencia
secado puerta de emergencia
salida dry
micotoxinas
