name
Acceso a la planta wet
Acceso a laboratorio wet
Pared de empaque secundario lata
Área de racks de insumos
Área de LP S
Área de cortinas (acceso a zona azul)
Área de racks "Producto de proceso"
Puerta de emergencia
Área de andenes
Pared (L4 Descargadora de blind)
Pared (Area de esterilizado)
Rampa a salida de gas de montacargas
Área de equipo obsoletos
Área de racks etiquetas recibo wet
Exterior área nueva recibo wet
Interior área nueva recibo wet
Área de andenes recibo wet
Exterior oficinas recibo wet
Exterior decomisos
Área polvos
Área polvos y gravy
Exterior polvos y gravy
Área CCM (Wet nuevo)
Exterior de congelador
Área de emulsión
Exterior oficinas wet (accesos)
Corte Wet
Baño de mujeres (Amenities)
Cuarto de ropa sucia (Amenities)
Baño de hombres (Amenities)
Escaleras (Amenities)
Barra de comedor
Almacen de comedor
Acceso a proveedores/comedor/cocina
Puerta de emergencia comedor
Área de comedor
Cuarto de calentadores
Cuarto electrico
Subestación electrica
Tratamiento de aguas
